time/fps,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_fraction,train/entropy_loss,train/value_loss,train/approx_kl,train/explained_variance,train/loss,train/std,train/learning_rate,train/clip_range,train/n_updates,train/policy_gradient_loss
590,226,134144,131,0.04296875,-7.92455957531929,0.0028464227558288257,0.0061908853,0.9651374220848083,-0.05064200237393379,0.9065461158752441,0.0001,0.2,1300,-0.007195196146494709
591,228,135168,132,0.03193359375,-7.91526626944542,0.0015696576290793018,0.0065348796,0.9798609614372253,-0.02630189247429371,0.9058086276054382,0.0001,0.2,1310,-0.005873796599917114
591,230,136192,133,0.1041015625,-7.9141131192445755,0.002357967893476598,0.010447943,0.9708271026611328,-0.043309736996889114,0.9060943126678467,0.0001,0.2,1320,-0.014039280955330469
591,231,137216,134,0.05283203125,-7.906081902980804,0.0025054213096154855,0.0065959375,0.966797947883606,-0.05381552875041962,0.9030064940452576,0.0001,0.2,1330,-0.0086956489176373
592,233,138240,135,0.08388671875,-7.891709125041961,0.0025863172828394453,0.0074239294,0.9650799632072449,-0.05286506935954094,0.9021715521812439,0.0001,0.2,1340,-0.007883496096474119
591,235,139264,136,0.11728515625,-7.8859834402799605,0.0024596440394816454,0.011505534,0.9657065272331238,-0.04367563873529434,0.9012982249259949,0.0001,0.2,1350,-0.01280887706525391
590,237,140288,137,0.0462890625,-7.87492964565754,0.0017475878492405172,0.006632044,0.974134087562561,-0.037595536559820175,0.8987851738929749,0.0001,0.2,1360,-0.0066614695213502275
591,239,141312,138,0.04658203125,-7.85774413049221,0.002246728694444755,0.0060704774,0.9684077501296997,-0.04646040499210358,0.896182119846344,0.0001,0.2,1370,-0.0075582082150504
591,240,142336,139,0.08681640625,-7.843773955106736,0.0025707663662615232,0.010150651,0.9639022350311279,-0.03210640698671341,0.8948193192481995,0.0001,0.2,1380,-0.01242305233172374
591,242,143360,140,0.06708984375,-7.836245441436768,0.0019196921013644897,0.007305184,0.9725949168205261,-0.02206493355333805,0.8936201930046082,0.0001,0.2,1390,-0.008682873970246873
592,243,144384,141,0.0783203125,-7.828826010227203,0.002386882670907653,0.009211049,0.9664844274520874,-0.08651111274957657,0.8930665850639343,0.0001,0.2,1400,-0.0096486125519732
592,245,145408,142,0.05712890625,-7.8235910594463345,0.0023164460006228184,0.0061747655,0.9648905992507935,-0.04691475257277489,0.8920645117759705,0.0001,0.2,1410,-0.008746388630243018
592,247,146432,143,0.05673828125,-7.821845054626465,0.0020676522861322157,0.006643171,0.9695713520050049,-0.05148154869675636,0.8925319314002991,0.0001,0.2,1420,-0.006134175699844491
591,249,147456,144,0.0947265625,-7.822193261981011,0.0015073333979671588,0.009432061,0.9766924977302551,-0.07763543725013733,0.8920547962188721,0.0001,0.2,1430,-0.011295238361344672
591,250,148480,145,0.0580078125,-7.816013795137406,0.001651618321193382,0.0069836443,0.9717214703559875,-0.05302533879876137,0.8908183574676514,0.0001,0.2,1440,-0.0083994297303434
591,252,149504,146,0.0837890625,-7.801897358894348,0.001254953976967954,0.0092100585,0.9781965613365173,-0.02986191399395466,0.887955367565155,0.0001,0.2,1450,-0.01161789614125155
592,254,150528,147,0.09833984375,-7.790210321545601,0.002485366986365989,0.009745006,0.9593556523323059,-0.03879886493086815,0.8875026106834412,0.0001,0.2,1460,-0.012654945431859233
592,255,151552,148,0.037890625,-7.791888362169265,0.0022893902809300926,0.0066005383,0.9594532251358032,-0.061781447380781174,0.8882173895835876,0.0001,0.2,1470,-0.007177993789082393
592,257,152576,149,0.08369140625,-7.79746797978878,0.003164463846042054,0.008893129,0.9443162679672241,-0.05817326530814171,0.8890233039855957,0.0001,0.2,1480,-0.01170868425106164
593,258,153600,150,0.04599609375,-7.795074442029,0.002151463692280231,0.005990734,0.9631603956222534,-0.03959660232067108,0.8874028325080872,0.0001,0.2,1490,-0.006029727929853834
592,261,154624,151,0.11640625,-7.787178856134415,0.002390812739758985,0.010710779,0.959391713142395,-0.04242774099111557,0.8868868350982666,0.0001,0.2,1500,-0.013132155581843108
592,262,155648,152,0.03681640625,-7.789747735857963,0.0026061668839247433,0.0053779315,0.9543538093566895,-0.05695101246237755,0.8882400393486023,0.0001,0.2,1510,-0.005164931426406838
