Finance Portfolio
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Real Risk Premium,Real Risk Premium
Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5,Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5,Baa Corporate Bond2,Real Estate2,Gold2,Stocks minus T. Bills,Stocks minus T.Bonds
1980,31.74%,42.41%,11.39%,-2.99%,-3.32%,7.40%,15.19%,"$7,934.26","$85,072.31",$453.04,$448.17,"$1,152.99",$795.11,"$2,857.32",20.34%,34.72%,10.67%,35.05%,8.93%,12.52%,17.08%,26.57%,-1.00%,-13.78%,-14.07%,-4.55%,2.37%,"$1,590.53","$17,053.90",$90.82,$89.84,$231.13,$159.39,$572.79,18.08%,30.86%
1981,-4.70%,-4.14%,14.04%,8.20%,8.46%,5.10%,-32.60%,"$7,561.16","$81,550.32",$516.63,$484.91,"$1,250.56",$835.62,"$1,925.87",-18.74%,-12.90%,0.56%,-13.16%,8.28%,8.92%,-12.51%,-11.99%,4.69%,-0.66%,-0.42%,-3.51%,-38.12%,"$1,391.58","$15,008.73",$95.08,$89.24,$230.16,$153.79,$354.44,-17.20%,-11.84%
1982,20.42%,27.11%,10.60%,32.81%,29.05%,0.56%,15.62%,"$9,105.08","$103,658.61",$571.41,$644.04,"$1,613.88",$840.33,"$2,226.74",9.82%,-12.40%,6.69%,-8.63%,7.80%,3.83%,15.98%,22.42%,6.52%,27.92%,24.29%,-3.15%,11.36%,"$1,613.91","$18,373.92",$101.29,$114.16,$286.07,$148.95,$394.70,9.45%,-11.94%
1983,22.34%,35.86%,8.62%,3.20%,16.19%,4.75%,-16.80%,"$11,138.90","$140,830.59",$620.65,$664.65,"$1,875.23",$880.25,"$1,852.71",13.72%,19.14%,13.52%,6.14%,8.09%,3.79%,17.87%,30.90%,4.65%,-0.57%,11.95%,0.92%,-19.84%,"$1,902.30","$24,051.04",$106.00,$113.51,$320.25,$150.33,$316.41,13.22%,18.44%
1984,6.15%,-14.52%,9.54%,13.73%,15.62%,4.68%,-19.38%,"$11,823.51","$120,381.99",$679.87,$755.92,"$2,168.13",$921.43,"$1,493.70",-3.39%,-7.59%,-20.67%,-9.47%,7.69%,3.95%,2.11%,-17.77%,5.38%,9.41%,11.23%,0.70%,-22.44%,"$1,942.51","$19,777.86",$111.70,$124.19,$356.21,$151.38,$245.40,-3.27%,-7.30%
1985,31.24%,25.14%,7.47%,25.71%,23.86%,7.47%,6.00%,"$15,516.60","$150,646.02",$730.66,$950.29,"$2,685.50",$990.27,"$1,583.33",23.76%,5.52%,-6.10%,7.37%,7.65%,3.80%,26.43%,20.56%,3.54%,21.11%,19.33%,3.54%,2.12%,"$2,455.97","$23,844.26",$115.65,$150.41,$425.06,$156.74,$250.61,22.89%,5.32%
1986,18.49%,2.16%,5.97%,24.28%,21.35%,9.61%,18.96%,"$18,386.33","$153,899.97",$774.27,"$1,181.06","$3,258.97","$1,085.46","$1,883.48",12.53%,-5.79%,-16.33%,-2.86%,7.35%,1.10%,17.21%,1.05%,4.82%,22.93%,20.04%,8.42%,17.66%,"$2,878.59","$24,094.75",$121.22,$184.91,$510.23,$169.94,$294.88,12.39%,-5.73%
1987,5.81%,-14.03%,5.78%,-4.96%,2.81%,7.85%,24.53%,"$19,455.08","$132,307.81",$819.01,"$1,122.47","$3,350.63","$1,170.66","$2,345.45",0.04%,10.77%,-19.84%,3.00%,7.44%,4.43%,1.32%,-17.68%,1.29%,-9.00%,-1.55%,3.27%,19.24%,"$2,916.58","$19,834.71",$122.78,$168.27,$502.30,$175.50,$351.61,0.03%,10.32%
1988,16.54%,17.37%,6.67%,8.22%,14.38%,7.22%,-15.26%,"$22,672.40","$155,289.67",$873.62,"$1,214.78","$3,832.52","$1,255.19","$1,987.65",9.87%,8.31%,0.83%,2.15%,7.46%,4.42%,11.60%,12.40%,2.15%,3.64%,9.54%,2.68%,-18.84%,"$3,255.04","$22,294.71",$125.42,$174.40,$550.23,$180.21,$285.36,9.45%,7.96%
1989,31.48%,6.95%,8.11%,17.69%,15.95%,4.39%,-2.84%,"$29,808.58","$166,082.31",$944.49,"$1,429.72","$4,443.77","$1,310.35","$1,931.20",23.36%,13.78%,-24.53%,15.53%,7.59%,4.65%,25.64%,2.20%,3.31%,12.47%,10.80%,-0.24%,-7.15%,"$4,089.52","$22,785.29",$129.58,$196.15,$609.65,$179.77,$264.95,22.33%,13.17%
1990,-3.06%,-27.92%,7.50%,6.24%,6.28%,-0.69%,-3.11%,"$28,895.11","$119,712.13","$1,015.29","$1,518.87","$4,722.87","$1,301.36","$1,871.12",-10.56%,-9.30%,-24.86%,-9.35%,7.19%,6.11%,-8.64%,-32.07%,1.31%,0.12%,0.16%,-6.40%,-8.69%,"$3,736.07","$15,478.48",$131.27,$196.39,$610.66,$168.26,$241.93,-9.95%,-8.76%
1991,30.23%,46.27%,5.38%,15.00%,18.93%,-0.17%,-8.56%,"$37,631.51","$175,102.93","$1,069.87","$1,746.77","$5,616.82","$1,299.16","$1,711.00",24.86%,15.23%,16.04%,11.31%,7.34%,3.06%,26.36%,41.92%,2.24%,11.59%,15.39%,-3.14%,-11.28%,"$4,721.00","$21,967.23",$134.22,$219.14,$704.65,$162.98,$214.65,24.12%,14.78%
1992,7.49%,25.51%,3.43%,9.36%,11.31%,0.82%,-5.73%,"$40,451.51","$219,771.68","$1,106.58","$1,910.30","$6,251.82","$1,309.78","$1,612.89",4.06%,-1.87%,18.02%,-3.81%,7.15%,2.90%,4.46%,21.97%,0.52%,6.28%,8.17%,-2.02%,-8.39%,"$4,931.72","$26,793.88",$134.91,$232.90,$762.20,$159.68,$196.64,3.95%,-1.82%
1993,9.97%,25.73%,3.00%,14.21%,15.47%,2.16%,17.68%,"$44,483.33","$276,318.94","$1,139.74","$2,181.77","$7,219.13","$1,338.03","$1,898.01",6.97%,-4.24%,15.76%,-5.51%,6.91%,2.75%,7.03%,22.37%,0.24%,11.16%,12.38%,-0.58%,14.53%,"$5,278.20","$32,786.83",$135.24,$258.88,$856.59,$158.76,$225.21,6.78%,-4.13%
1994,1.33%,-5.01%,4.25%,-8.04%,-0.97%,2.52%,-2.17%,"$45,073.14","$262,475.36","$1,188.21","$2,006.43","$7,149.23","$1,371.69","$1,856.83",-2.93%,9.36%,-6.34%,2.29%,6.97%,2.67%,-1.31%,-7.48%,1.54%,-10.43%,-3.55%,-0.16%,-4.72%,"$5,208.86","$30,332.84",$137.31,$231.87,$826.20,$158.52,$214.58,-2.85%,9.12%
1995,37.20%,32.27%,5.49%,23.48%,21.29%,1.79%,0.98%,"$61,838.19","$347,176.16","$1,253.44","$2,477.55","$8,671.10","$1,396.27","$1,875.00",31.71%,13.71%,-4.93%,15.91%,7.09%,2.54%,33.80%,29.00%,2.88%,20.42%,18.28%,-0.73%,-1.52%,"$6,969.39","$39,128.01",$141.27,$279.23,$977.26,$157.36,$211.32,30.92%,13.37%
1996,22.68%,14.63%,5.01%,1.43%,3.42%,2.43%,-4.59%,"$75,863.69","$397,968.03","$1,316.18","$2,512.94","$8,967.28","$1,430.13","$1,789.00",17.68%,21.25%,-8.05%,19.27%,7.36%,3.32%,18.74%,10.94%,1.63%,-1.83%,0.09%,-0.87%,-7.65%,"$8,275.17","$43,410.15",$143.57,$274.11,$978.15,$156.00,$195.14,17.11%,20.57%
1997,33.10%,22.17%,5.06%,9.94%,12.75%,4.02%,-21.41%,"$100,977.34","$486,197.54","$1,382.80","$2,762.71","$10,110.98","$1,487.66","$1,406.01",28.04%,23.16%,-10.93%,20.35%,7.64%,1.70%,30.88%,20.12%,3.30%,8.10%,10.87%,2.28%,-22.72%,"$10,830.18","$52,146.44",$148.31,$296.31,"$1,084.44",$159.56,$150.80,27.57%,22.78%
1998,28.34%,-13.46%,4.78%,14.92%,7.63%,6.44%,-0.83%,"$129,592.25","$420,755.35","$1,448.84","$3,174.95","$10,882.19","$1,583.49","$1,394.38",23.56%,13.42%,-41.80%,20.71%,7.74%,1.61%,26.30%,-14.83%,3.11%,13.10%,5.92%,4.75%,-2.40%,"$13,678.75","$44,411.65",$152.93,$335.12,"$1,148.64",$167.14,$147.18,23.19%,13.20%
1999,20.89%,38.24%,4.64%,-8.25%,0.91%,7.68%,0.85%,"$156,658.05","$581,652.20","$1,516.05","$2,912.88","$10,980.88","$1,705.10","$1,406.25",16.25%,29.14%,17.35%,19.98%,8.15%,2.68%,17.72%,34.63%,1.90%,-10.65%,-1.73%,4.86%,-1.79%,"$16,103.30","$59,789.58",$155.84,$299.42,"$1,128.75",$175.27,$144.55,15.82%,28.38%
2000,-9.03%,-9.29%,5.82%,16.66%,9.39%,9.29%,-5.44%,"$142,508.98","$527,616.71","$1,604.28","$3,398.03","$12,011.74","$1,863.54","$1,329.70",-14.85%,-25.69%,-0.26%,-18.42%,7.49%,3.39%,-12.01%,-12.26%,2.35%,12.83%,5.80%,5.71%,-8.54%,"$14,169.00","$52,458.46",$159.51,$337.85,"$1,194.27",$185.28,$132.21,-14.37%,-24.85%
2001,-11.85%,32.14%,3.40%,5.57%,8.54%,6.68%,0.75%,"$125,622.01","$697,192.72","$1,658.81","$3,587.37","$13,037.39","$1,987.95","$1,339.63",-15.25%,-17.42%,43.99%,-20.39%,6.99%,1.55%,-13.20%,30.12%,1.82%,3.96%,6.88%,5.05%,-0.79%,"$12,299.16","$68,259.42",$162.41,$351.23,"$1,276.44",$194.63,$131.16,-15.02%,-17.16%
2002,-21.97%,-3.58%,1.61%,15.12%,12.14%,9.56%,25.57%,"$98,027.82","$672,233.22","$1,685.44","$4,129.65","$14,620.61","$2,178.02","$1,682.17",-23.57%,-37.08%,18.39%,-34.11%,6.10%,2.38%,-23.78%,-5.82%,-0.75%,12.44%,9.54%,7.02%,22.65%,"$9,374.69","$64,287.67",$161.18,$394.93,"$1,398.21",$208.29,$160.87,-23.02%,-36.22%
2003,28.36%,91.91%,1.01%,0.38%,12.32%,9.81%,19.89%,"$125,824.39","$1,290,082.78","$1,702.44","$4,145.15","$16,421.34","$2,391.76","$2,016.72",27.35%,27.98%,63.55%,16.04%,6.46%,1.88%,25.99%,88.37%,-0.86%,-1.48%,10.24%,7.79%,17.68%,"$11,810.98","$121,098.43",$159.81,$389.10,"$1,541.45",$224.51,$189.31,26.84%,27.46%
2004,10.74%,17.49%,1.37%,4.49%,10.35%,13.64%,4.65%,"$139,341.42","$1,515,718.25","$1,725.84","$4,331.30","$18,120.28","$2,717.96","$2,110.47",9.37%,6.25%,6.75%,0.40%,6.46%,3.26%,7.25%,13.79%,-1.82%,1.20%,6.87%,10.06%,1.35%,"$12,667.41","$137,792.63",$156.89,$393.75,"$1,647.30",$247.09,$191.86,9.07%,6.05%
2005,4.83%,3.93%,3.15%,2.87%,5.30%,13.51%,17.77%,"$146,077.85","$1,575,285.98","$1,780.19","$4,455.50","$19,080.36","$3,085.14","$2,485.47",1.69%,1.97%,-0.90%,-0.46%,6.38%,3.42%,1.37%,0.50%,-0.26%,-0.53%,1.82%,9.76%,13.88%,"$12,841.20","$138,477.94",$156.49,$391.67,"$1,677.29",$271.20,$218.49,1.63%,1.90%
2006,15.61%,18.47%,4.73%,1.96%,5.20%,1.73%,23.20%,"$168,884.34","$1,866,241.30","$1,864.39","$4,542.87","$20,071.86","$3,138.60","$3,062.02",10.88%,13.65%,2.86%,10.42%,6.50%,2.54%,12.75%,15.53%,2.14%,-0.57%,2.59%,-0.79%,20.14%,"$14,478.20","$159,990.03",$159.83,$389.45,"$1,720.73",$269.07,$262.50,10.61%,13.31%
2007,5.48%,-9.15%,4.36%,10.21%,4.84%,-5.40%,31.92%,"$178,147.20","$1,695,480.22","$1,945.72","$5,006.69","$21,044.26","$2,969.14","$4,039.49",1.12%,-4.73%,-14.63%,0.64%,6.32%,4.08%,1.35%,-12.71%,0.27%,5.89%,0.73%,-9.11%,26.75%,"$14,673.43","$139,651.39",$160.26,$412.39,"$1,733.35",$244.56,$332.72,1.08%,-4.54%
2008,-36.55%,-44.84%,1.37%,20.10%,-3.54%,-12.00%,4.32%,"$113,030.22","$935,226.89","$1,972.40","$6,013.10","$20,299.23","$2,612.99","$4,213.91",-37.92%,-56.65%,-8.29%,-33.01%,5.09%,0.09%,-36.61%,-44.89%,1.28%,19.99%,-3.63%,-12.08%,4.22%,"$9,301.44","$76,961.36",$162.31,$494.83,"$1,670.46",$215.03,$346.77,-37.89%,-56.60%
2009,25.94%,47.48%,0.15%,-11.12%,20.21%,-3.85%,25.04%,"$142,344.87","$1,379,272.62","$1,975.37","$5,344.65","$24,401.63","$2,512.29","$5,268.90",25.78%,37.05%,21.54%,5.73%,5.60%,2.72%,22.60%,43.57%,-2.50%,-13.47%,17.03%,-6.40%,21.72%,"$11,403.47","$110,495.66",$158.25,$428.17,"$1,954.85",$201.26,$422.10,25.10%,36.07%
2010,14.82%,28.24%,0.14%,8.46%,9.41%,-4.12%,29.24%,"$163,441.94","$1,768,779.20","$1,978.10","$5,796.96","$26,697.95","$2,408.84","$6,809.59",14.68%,6.36%,13.42%,5.41%,5.61%,1.50%,13.13%,26.35%,-1.34%,6.86%,7.80%,-5.53%,27.34%,"$12,900.63","$139,611.44",$156.13,$457.56,"$2,107.29",$190.13,$537.49,14.47%,6.26%
2011,2.10%,-14.15%,0.05%,16.04%,12.26%,-3.89%,12.02%,"$166,871.56","$1,518,496.95","$1,979.15","$6,726.52","$29,971.89","$2,315.25","$7,628.39",2.05%,-13.94%,-16.25%,-10.16%,5.31%,2.96%,-0.84%,-16.62%,-2.83%,12.70%,9.03%,-6.65%,8.80%,"$12,792.37","$116,407.93",$151.72,$515.65,"$2,297.64",$177.49,$584.79,1.99%,-13.54%
2012,15.89%,18.73%,0.09%,2.97%,9.33%,6.44%,5.68%,"$193,388.43","$1,802,911.43","$1,980.88","$6,926.40","$32,767.39","$2,464.25","$8,062.02",15.80%,12.92%,2.84%,6.56%,5.43%,1.74%,13.91%,16.70%,-1.63%,1.21%,7.46%,4.61%,3.88%,"$14,571.46","$135,846.03",$149.26,$521.89,"$2,468.96",$185.68,$607.46,15.53%,12.70%
2013,32.15%,50.68%,0.06%,-9.10%,-0.98%,10.72%,-27.61%,"$255,553.31","$2,716,626.94","$1,982.01","$6,295.79","$32,445.36","$2,728.39","$5,835.76",32.09%,41.25%,18.53%,33.13%,5.95%,1.50%,30.19%,48.45%,-1.42%,-10.45%,-2.45%,9.08%,-28.69%,"$18,970.58","$201,664.32",$147.13,$467.36,"$2,408.53",$202.54,$433.21,31.61%,40.64%
2014,13.52%,1.59%,0.03%,10.75%,10.78%,4.50%,0.12%,"$290,115.42","$2,759,821.30","$1,982.66","$6,972.34","$35,943.54","$2,851.26","$5,843.02",13.49%,2.78%,-11.93%,2.74%,5.90%,0.76%,12.67%,0.83%,-0.72%,9.91%,9.95%,3.72%,-0.63%,"$21,374.54","$203,332.59",$146.07,$513.69,"$2,648.18",$210.07,$430.49,13.39%,2.76%
2015,1.38%,-9.21%,0.05%,1.28%,-1.50%,5.19%,-12.11%,"$294,115.79","$2,505,641.76","$1,983.69","$7,061.89","$35,404.08","$2,999.38","$5,135.66",1.33%,0.09%,-10.59%,2.88%,5.82%,0.73%,0.64%,-9.87%,-0.67%,0.55%,-2.21%,4.43%,-12.74%,"$21,512.34","$183,268.68",$145.09,$516.52,"$2,589.54",$219.38,$375.63,1.32%,0.09%
2016,11.77%,17.50%,0.32%,0.69%,11.52%,5.31%,8.10%,"$328,742.28","$2,944,129.07","$1,989.96","$7,110.65","$39,484.22","$3,158.51","$5,551.84",11.46%,11.08%,5.73%,0.25%,5.89%,2.07%,9.50%,15.11%,-1.72%,-1.36%,9.26%,3.17%,5.91%,"$23,556.30","$210,963.99",$142.59,$509.52,"$2,829.27",$226.33,$397.82,11.22%,10.86%
2017,21.61%,15.47%,0.93%,2.80%,9.23%,6.21%,12.66%,"$399,768.64","$3,399,585.84","$2,008.55","$7,309.87","$43,130.15","$3,354.56","$6,254.84",20.67%,18.80%,-6.14%,12.37%,6.07%,2.11%,19.09%,13.08%,-1.15%,0.68%,6.98%,4.01%,10.34%,"$28,054.07","$238,568.52",$140.95,$512.98,"$3,026.69",$235.41,$438.94,20.24%,18.42%
2018,-4.23%,-16.26%,1.94%,-0.02%,-3.27%,4.52%,-0.93%,"$382,870.94","$2,846,813.18","$2,047.44","$7,308.65","$41,720.04","$3,506.10","$6,196.71",-6.16%,-4.21%,-12.03%,-0.96%,5.91%,1.91%,-6.02%,-17.83%,0.03%,-1.89%,-5.08%,2.56%,-2.79%,"$26,364.65","$196,032.74",$140.99,$503.28,"$2,872.86",$241.43,$426.71,-6.05%,-4.13%
2019,31.21%,12.27%,2.06%,9.64%,15.25%,3.69%,19.08%,"$502,371.39","$3,196,117.16","$2,089.67","$8,012.89","$48,081.42","$3,635.31","$7,378.88",29.15%,21.58%,-18.94%,15.96%,6.10%,2.29%,28.28%,9.76%,-0.22%,7.19%,12.67%,1.37%,16.42%,"$33,820.66","$215,169.07",$140.68,$539.44,"$3,236.94",$244.74,$496.76,28.50%,21.09%
2020,18.02%,34.73%,0.35%,11.33%,10.60%,10.43%,24.17%,"$592,914.80","$4,306,128.65","$2,097.08","$8,920.90","$53,178.62","$4,014.35","$9,162.31",17.67%,6.69%,16.71%,7.42%,6.11%,1.36%,16.44%,32.92%,-0.99%,9.84%,9.12%,8.94%,22.50%,"$39,379.86","$286,001.91",$139.28,$592.50,"$3,531.99",$266.62,$608.54,17.43%,6.60%
2021,28.47%,21.69%,0.05%,-4.42%,0.93%,18.86%,-3.75%,"$761,710.83","$5,240,127.95","$2,098.03","$8,526.95","$53,675.01","$4,771.64","$8,818.31",28.42%,32.88%,-6.78%,27.54%,6.46%,7.04%,20.02%,13.69%,-6.53%,-10.70%,-5.70%,11.05%,-10.08%,"$47,265.10","$325,156.42",$130.19,$529.11,"$3,330.60",$296.09,$547.19,26.56%,30.72%
2022,-18.04%,-23.38%,2.02%,-17.83%,-15.14%,5.65%,0.55%,"$624,317.20","$4,014,986.03","$2,140.51","$7,006.75","$45,546.43","$5,041.32","$8,866.76",-20.06%,-0.21%,-5.34%,-2.89%,6.34%,6.45%,-23.01%,-28.03%,-4.16%,-22.81%,-20.29%,-0.75%,-5.55%,"$36,390.84","$234,029.64",$124.77,$408.42,"$2,654.86",$293.85,$516.84,-18.85%,-0.20%
2023,26.06%,5.17%,5.07%,3.88%,8.74%,5.68%,13.26%,"$787,018.53","$4,222,560.81","$2,249.04","$7,278.61","$49,525.21","$5,327.59","$10,042.68",20.99%,22.18%,-20.89%,17.33%,6.54%,3.35%,21.97%,1.76%,1.66%,0.51%,5.21%,2.25%,9.59%,"$44,386.65","$238,146.03",$126.84,$410.50,"$2,793.15",$300.47,$566.39,20.31%,21.46%
2024,24.88%,8.62%,4.97%,-1.64%,1.74%,4.24%,25.96%,"$982,817.82","$4,586,545.55","$2,360.82","$7,159.45","$50,385.15","$5,553.70","$12,649.47",19.91%,26.52%,-16.26%,23.14%,6.79%,2.75%,21.54%,5.71%,2.16%,-4.27%,-0.99%,1.45%,22.59%,"$53,945.92","$251,751.06",$129.58,$392.98,"$2,765.59",$304.84,$694.32,19.38%,25.81%
