Finance Portfolio
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Annual Returns on Investments in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Value of $100 invested at start of 1928 in,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Annual Real Returns,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Value of $100 invested at start of 1928 in real terms,Real Risk Premium,Real Risk Premium
Year,S&P 500 (includes dividends),US Small cap (bottom decile),3-month T.Bill,US T. Bond (10-year), Baa Corporate Bond,Real Estate,Gold*,S&P 500 (includes dividends)3,US Small cap (bottom decile) Cum Value,3-month T.Bill4,US T. Bond5,Baa Corporate Bond2,Real Estate2,Gold2,Stocks - Bills,Stocks - Bonds,Small Cap Premium (S&P 500 minus Bottom Decile),Stocks - Baa Corp Bond,Historical ERP,Inflation Rate,S&P 500 (includes dividends)2,US Small cap (bottom decile)22,3-month T. Bill (Real),!0-year T.Bonds,Baa Corp Bonds,Real Estate3,Gold,S&P 500 (includes dividends)3,US Small cap (bottom decile)22,3-month T.Bill4,US T. Bond5,Baa Corporate Bond2,Real Estate2,Gold2,Stocks minus T. Bills,Stocks minus T.Bonds
1950,30.81%,52.78%,1.20%,0.43%,4.24%,3.64%,9.56%,$355.60,"$1,458.75",$124.44,$199.27,$366.65,$199.22,$168.22,29.60%,30.38%,21.97%,26.57%,,5.93%,23.48%,44.22%,-4.46%,-5.19%,-1.60%,-2.16%,3.43%,$246.07,"$1,009.46",$86.12,$137.90,$253.72,$137.86,$116.41,27.94%,28.67%
1951,23.68%,3.92%,1.52%,-0.30%,-0.19%,6.05%,0.00%,$439.80,"$1,515.93",$126.33,$198.68,$365.95,$211.26,$168.22,22.16%,23.97%,-19.76%,23.87%,,6.00%,16.68%,-1.96%,-4.23%,-5.94%,-5.84%,0.04%,-5.66%,$287.11,$989.65,$82.47,$129.71,$238.90,$137.92,$109.82,20.91%,22.62%
1952,18.15%,1.19%,1.72%,2.27%,4.44%,4.41%,-0.35%,$519.62,"$1,533.97",$128.51,$203.19,$382.20,$220.57,$167.64,16.43%,15.88%,-16.96%,13.71%,,0.75%,17.27%,0.43%,0.96%,1.50%,3.66%,3.62%,-1.09%,$336.69,$993.92,$83.27,$131.66,$247.64,$142.92,$108.62,16.31%,15.76%
1953,-1.21%,-5.80%,1.89%,4.14%,1.62%,11.52%,0.69%,$513.35,"$1,445.00",$130.94,$211.61,$388.39,$245.98,$168.80,-3.10%,-5.35%,-4.59%,-2.83%,,0.75%,-1.94%,-6.50%,1.13%,3.37%,0.86%,10.69%,-0.06%,$330.14,$929.31,$84.21,$136.09,$249.78,$158.19,$108.56,-3.08%,-5.31%
1954,52.56%,63.90%,0.94%,3.29%,6.16%,0.92%,0.57%,$783.18,"$2,368.36",$132.17,$218.57,$412.31,$248.25,$169.77,51.63%,49.27%,11.34%,46.41%,,-0.74%,53.71%,65.13%,1.69%,4.06%,6.95%,1.68%,1.33%,$507.45,"$1,534.56",$85.64,$141.62,$267.15,$160.85,$110.00,52.01%,49.64%
1955,32.60%,27.09%,1.72%,-1.34%,2.04%,0.00%,-0.03%,"$1,038.47","$3,009.95",$134.45,$215.65,$420.74,$248.25,$169.72,30.87%,33.93%,-5.51%,30.55%,,0.37%,32.10%,26.62%,1.34%,-1.70%,1.66%,-0.37%,-0.40%,$670.36,"$1,942.99",$86.79,$139.21,$271.60,$160.25,$109.56,30.76%,33.81%
1956,7.44%,-0.99%,2.62%,-2.26%,-2.35%,0.91%,-0.11%,"$1,115.73","$2,980.15",$137.97,$210.79,$410.84,$250.52,$169.53,4.82%,9.70%,-8.43%,9.79%,,2.99%,4.33%,-3.86%,-0.35%,-5.09%,-5.18%,-2.01%,-3.01%,$699.35,"$1,867.99",$86.48,$132.12,$257.52,$157.03,$106.26,4.68%,9.41%
1957,-10.46%,-15.25%,3.22%,6.80%,-0.72%,2.72%,-0.11%,$999.05,"$2,525.68",$142.42,$225.11,$407.89,$257.33,$169.33,-13.68%,-17.25%,-4.79%,-9.74%,,2.90%,-12.98%,-17.64%,0.32%,3.79%,-3.52%,-0.18%,-2.93%,$608.58,"$1,538.53",$86.76,$137.13,$248.47,$156.75,$103.15,-13.30%,-16.77%
1958,43.72%,69.35%,1.77%,-2.10%,6.43%,0.66%,0.43%,"$1,435.84","$4,277.24",$144.93,$220.39,$434.11,$259.03,$170.06,41.95%,45.82%,25.63%,37.29%,,1.76%,41.23%,66.42%,0.01%,-3.79%,4.59%,-1.08%,-1.31%,$859.52,"$2,560.42",$86.76,$131.93,$259.87,$155.06,$101.80,41.23%,45.03%
1959,12.06%,12.74%,3.39%,-2.65%,1.57%,0.11%,0.00%,"$1,608.95","$4,822.16",$149.84,$214.56,$440.95,$259.31,$170.06,8.67%,14.70%,0.68%,10.48%,,1.73%,10.15%,10.82%,1.63%,-4.30%,-0.15%,-1.59%,-1.70%,$946.76,"$2,837.53",$88.17,$126.25,$259.47,$152.59,$100.07,8.52%,14.45%
