S&P 500,Small Cap,Real Estate,Gold,T-Bill,T-Bill Spread
0.18739999999999998,0.1094,-0.0087,-0.0765,0.0163,0.0346
0.30879999999999996,0.20120000000000002,0.022799999999999997,-0.22719999999999999,0.033,-0.048
0.263,-0.1483,0.0475,-0.024,0.0311,-0.0999
0.1772,0.34630000000000005,0.048600000000000004,-0.0179,0.019,0.1255
-0.1201,-0.1226,0.0571,-0.08539999999999999,0.0235,-0.1048
-0.132,0.3012,0.050499999999999996,-0.0079,0.0182,-0.021399999999999995
-0.2378,-0.0582,0.0702,0.22649999999999998,-0.0075,-0.1319
0.25989999999999996,0.8837,0.0779,0.17679999999999998,-0.0086,0.006200000000000001
0.0725,0.1379,0.10060000000000001,0.013500000000000002,-0.0182,-0.0302
0.0137,0.005,0.09759999999999999,0.1388,-0.0026,0.0027
0.1275,0.1553,-0.0079,0.2014,0.021400000000000002,0.027100000000000003
0.013500000000000002,-0.12710000000000002,-0.0911,0.2675,0.0027,-0.05619999999999999
-0.3661,-0.4489,-0.1208,0.042199999999999994,0.0128,-0.1871
0.226,0.4357,-0.064,0.21719999999999998,-0.025,0.10970000000000002
0.1313,0.2635,-0.0553,0.2734,-0.0134,-0.082
-0.0084,-0.16620000000000001,-0.0665,0.08800000000000001,-0.028300000000000002,-0.1553
0.1391,0.16699999999999998,0.0461,0.0388,-0.0163,-0.028399999999999998
0.3019,0.48450000000000004,0.0908,-0.2869,-0.014199999999999999,0.09029999999999999
0.1267,0.0083,0.037200000000000004,-0.0063,-0.0072,-0.1063
0.0064,-0.0987,0.0443,-0.1274,-0.0067,-0.0122
0.095,0.15109999999999998,0.0317,0.0591,-0.0172,-0.003599999999999999
0.1909,0.1308,0.0401,0.10339999999999999,-0.0115,-0.0183
-0.0602,-0.1783,0.0256,-0.0279,0.0003,0.019200000000000002
0.2828,0.09759999999999999,0.0137,0.1642,-0.0022,-0.0741
0.16440000000000002,0.3292,0.0894,0.225,-0.009899999999999999,-0.10830000000000001
0.2002,0.1369,0.1105,-0.1008,-0.0653,0.0417
-0.23010000000000003,-0.2803,-0.0075,-0.0555,-0.0416,0.1865
0.21969999999999998,0.0176,0.0225,0.0959,0.0166,0.0115
0.21539999999999998,0.0571,0.014499999999999999,0.2259,0.0216,0.0643
